instance,status,solver_time,lb_time,lb,ub
BPPC_2_0_1.txt_0.9,feasible,3.4476e-05,3.4378e-05,172,3212
BPPC_7_0_10.txt_0.9,feasible,4.0442e-05,4.0264e-05,262,3068
BPPC_4_0_10.txt_0.9,feasible,0.000562336,0.000562288,248,4934
BPPC_3_0_1.txt_0.9,feasible,9.6354e-05,9.6272e-05,291,607
BPPC_8_0_10.txt_0.9,feasible,0.000144017,0.000143951,282,381
BPPC_3_0_10.txt_0.9,feasible,0.000132063,0.000132008,260,595
BPPC_6_0_1.txt_0.9,feasible,9.954e-06,9.841e-06,287,366
BPPC_7_0_1.txt_0.9,feasible,3.1258e-05,3.1173e-05,278,383
BPPC_5_0_10.txt_0.9,feasible,4.305e-06,4.244e-06,184,357
BPPC_1_0_1.txt_0.9,feasible,1.1501e-05,1.1397e-05,262,477
BPPC_5_0_1.txt_0.9,feasible,3.901e-06,3.84e-06,185,345
BPPC_8_0_1.txt_0.9,feasible,9.8335e-05,9.8207e-05,284,386
BPPC_1_0_10.txt_0.9,feasible,9.367e-06,9.311e-06,196,506
BPPC_6_0_10.txt_0.9,feasible,9.194e-06,9.075e-06,257,362
BPPC_4_0_1.txt_0.9,feasible,0.000687192,0.000687011,298,663
BPPC_2_0_10.txt_0.9,feasible,2.9265e-05,2.9154e-05,250,600
BPPC_2_0_1.txt_0.9,feasible,5.1564e-05,5.1514e-05,172,484
BPPC_7_0_10.txt_0.9,feasible,5.2356e-05,5.2301e-05,262,359
BPPC_4_0_10.txt_0.9,feasible,0.0009121,0.00091183,248,651
BPPC_5_0_1.txt_0.1,feasible,2.909e-06,2.846e-06,2970,3116
BPPC_3_0_1.txt_0.1,feasible,3.0202e-05,3.0142e-05,629,657
BPPC_1_0_10.txt_0.1,feasible,5.009e-06,4.951e-06,558,645
BPPC_8_0_1.txt_0.1,feasible,2.8375e-05,2.8325e-05,2862,3120
BPPC_3_0_10.txt_0.1,feasible,2.8483e-05,2.8426e-05,628,656
BPPC_2_0_10.txt_0.1,feasible,1.1807e-05,1.1785e-05,591,648
BPPC_4_0_1.txt_0.1,feasible,8.5381e-05,8.5328e-05,629,670
BPPC_8_0_10.txt_0.1,feasible,3.1413e-05,3.1293e-05,2866,3119
BPPC_6_0_1.txt_0.1,feasible,5.329e-06,5.233e-06,2889,3119
BPPC_7_0_1.txt_0.1,feasible,1.1932e-05,1.1878e-05,2866,3119
BPPC_7_0_10.txt_0.1,feasible,1.2178e-05,1.212e-05,2876,3119
BPPC_2_0_1.txt_0.1,feasible,1.3158e-05,1.3097e-05,582,645
BPPC_4_0_10.txt_0.1,feasible,0.000100128,0.000100072,632,668
BPPC_6_0_10.txt_0.1,feasible,5.669e-06,5.606e-06,2871,3119
BPPC_1_0_1.txt_0.1,feasible,4.882e-06,4.825e-06,591,615
BPPC_5_0_10.txt_0.1,feasible,2.297e-06,2.273e-06,2985,3116
BPPC_5_0_1.txt_0.1,feasible,2.369e-06,2.349e-06,785,1039
BPPC_3_0_1.txt_0.1,feasible,3.9738e-05,3.9624e-05,214,223
BPPC_1_0_10.txt_0.1,feasible,5.175e-06,5.118e-06,214,223
BPPC_8_0_1.txt_0.1,optimal,3.0861e-05,3.0755e-05,1040,1040
BPPC_3_0_10.txt_0.1,feasible,3.2215e-05,3.216e-05,214,222
BPPC_2_0_10.txt_0.1,feasible,1.2325e-05,1.227e-05,220,221
BPPC_4_0_1.txt_0.1,feasible,8.7274e-05,8.7207e-05,210,225
BPPC_8_0_10.txt_0.1,optimal,3.1406e-05,3.131e-05,1040,1040
BPPC_6_0_1.txt_0.1,feasible,5.368e-06,5.27e-06,782,1039
BPPC_7_0_1.txt_0.1,optimal,1.3167e-05,1.3108e-05,1040,1040
BPPC_7_0_10.txt_0.1,optimal,1.3755e-05,1.3701e-05,1040,1040
BPPC_2_0_1.txt_0.1,feasible,1.3854e-05,1.3482e-05,220,221
BPPC_4_0_10.txt_0.1,feasible,9.9858e-05,9.9804e-05,210,225
BPPC_6_0_10.txt_0.1,optimal,5.064e-06,4.976e-06,1040,1040
BPPC_1_0_1.txt_0.1,feasible,5.262e-06,5.187e-06,200,213
BPPC_5_0_10.txt_0.1,feasible,2.769e-06,2.712e-06,789,1039
BPPC_5_0_1.txt_0.1,feasible,2.328e-06,2.287e-06,837,960
BPPC_3_0_1.txt_0.1,feasible,2.7038e-05,2.6492e-05,1521,1689
BPPC_1_0_10.txt_0.1,feasible,4.938e-06,4.862e-06,1056,1276
BPPC_8_0_1.txt_0.1,feasible,3.0104e-05,3.005e-05,1046,1134
BPPC_3_0_10.txt_0.1,feasible,2.641e-05,2.6359e-05,1396,1562
BPPC_2_0_10.txt_0.1,feasible,1.1666e-05,1.1608e-05,1277,1512
BPPC_4_0_1.txt_0.1,feasible,0.000112314,0.000112233,1565,1800
BPPC_8_0_10.txt_0.1,feasible,2.7542e-05,2.743e-05,1039,1100
BPPC_6_0_1.txt_0.1,feasible,5.455e-06,5.396e-06,901,1003
BPPC_7_0_1.txt_0.1,feasible,1.2375e-05,1.2321e-05,976,1071
BPPC_7_0_10.txt_0.1,feasible,1.3333e-05,1.3238e-05,1027,1100
BPPC_2_0_1.txt_0.1,feasible,1.2774e-05,1.2719e-05,1156,1342
BPPC_4_0_10.txt_0.1,feasible,0.000100587,0.000100487,1690,1829
BPPC_6_0_10.txt_0.1,feasible,5.253e-06,5.198e-06,999,1042
BPPC_1_0_1.txt_0.1,feasible,5.535e-06,5.453e-06,902,1039
BPPC_5_0_10.txt_0.1,feasible,2.616e-06,2.561e-06,852,901
BPPC_5_0_1.txt_0.1,feasible,2.831e-06,2.781e-06,6394,10355
BPPC_3_0_1.txt_0.1,feasible,2.6361e-05,2.6188e-05,1473,2103
BPPC_1_0_10.txt_0.1,feasible,5.502e-06,5.445e-06,1300,1971
BPPC_8_0_1.txt_0.1,feasible,3.7513e-05,2.7378e-05,10269,10398
BPPC_3_0_10.txt_0.1,feasible,5.2163e-05,5.207e-05,1820,2100
BPPC_2_0_10.txt_0.1,feasible,1.2245e-05,1.219e-05,1290,2042
BPPC_4_0_1.txt_0.1,feasible,9.733e-05,9.7275e-05,1862,2172
BPPC_8_0_10.txt_0.1,feasible,2.9735e-05,2.9679e-05,10345,10397
BPPC_6_0_1.txt_0.1,feasible,5.197e-06,5.139e-06,7117,10384
BPPC_7_0_1.txt_0.1,feasible,1.4152e-05,1.4072e-05,9999,10396
BPPC_7_0_10.txt_0.1,feasible,1.1707e-05,1.1651e-05,10329,10391
BPPC_2_0_1.txt_0.1,feasible,1.3078e-05,1.302e-05,1595,2022
BPPC_4_0_10.txt_0.1,feasible,7.7468e-05,7.7413e-05,1897,2180
BPPC_6_0_10.txt_0.1,feasible,5.194e-06,5.12e-06,7936,10383
BPPC_1_0_1.txt_0.1,feasible,6.716e-06,6.637e-06,1162,1931
BPPC_5_0_10.txt_0.1,feasible,2.999e-06,2.942e-06,6448,10352
BPPC_5_0_1.txt_0.1,feasible,2.634e-06,2.58e-06,1212,2241
BPPC_3_0_1.txt_0.1,feasible,4.2206e-05,4.2165e-05,2584,4222
BPPC_1_0_10.txt_0.1,feasible,5.282e-06,5.205e-06,1625,2883
BPPC_8_0_1.txt_0.1,feasible,3.9433e-05,3.9294e-05,2766,3508
BPPC_3_0_10.txt_0.1,feasible,4.6558e-05,4.6472e-05,2606,4033
BPPC_2_0_10.txt_0.1,feasible,1.202e-05,1.1962e-05,2134,3820
BPPC_4_0_1.txt_0.1,feasible,7.5191e-05,7.5136e-05,2962,4938
BPPC_8_0_10.txt_0.1,feasible,3.0068e-05,3.0009e-05,2719,3451
BPPC_6_0_1.txt_0.1,feasible,4.96e-06,4.903e-06,1763,2735
BPPC_7_0_1.txt_0.1,feasible,1.2673e-05,1.2504e-05,2028,3098
BPPC_7_0_10.txt_0.1,feasible,1.2898e-05,1.2798e-05,2206,3232
BPPC_2_0_1.txt_0.1,feasible,1.2943e-05,1.2866e-05,2069,3505
BPPC_4_0_10.txt_0.1,feasible,9.5672e-05,9.5617e-05,3343,5094
BPPC_6_0_10.txt_0.1,feasible,5.526e-06,5.448e-06,1749,2835
BPPC_1_0_1.txt_0.1,feasible,5.713e-06,5.655e-06,1559,2524
BPPC_5_0_10.txt_0.1,feasible,2.786e-06,2.722e-06,1358,2305
BPPC_5_0_1.txt_0.1,feasible,3.416e-06,3.34e-06,291,361
BPPC_3_0_1.txt_0.1,feasible,5.1517e-05,5.146e-05,577,666
BPPC_1_0_10.txt_0.1,feasible,5.555e-06,5.468e-06,513,547
BPPC_8_0_1.txt_0.1,feasible,3.7897e-05,3.7818e-05,299,391
BPPC_3_0_10.txt_0.1,feasible,2.83e-05,2.8249e-05,554,625
BPPC_2_0_10.txt_0.1,feasible,1.2766e-05,1.2704e-05,555,590
BPPC_4_0_1.txt_0.1,feasible,0.000113973,0.000113918,645,672
BPPC_8_0_10.txt_0.1,feasible,3.2317e-05,3.2257e-05,292,382
BPPC_6_0_1.txt_0.1,feasible,5.34e-06,5.277e-06,292,371
BPPC_7_0_1.txt_0.1,feasible,1.3547e-05,1.3488e-05,289,371
BPPC_7_0_10.txt_0.1,feasible,1.3367e-05,1.3309e-05,296,383
BPPC_2_0_1.txt_0.1,feasible,1.3001e-05,1.2964e-05,474,550
BPPC_4_0_10.txt_0.1,feasible,0.000105808,0.000105631,663,675
BPPC_6_0_10.txt_0.1,feasible,5.131e-06,5.091e-06,296,387
BPPC_1_0_1.txt_0.1,feasible,4.907e-06,4.888e-06,375,414
BPPC_5_0_10.txt_0.1,feasible,2.261e-06,2.235e-06,271,325
test_1000_1000_r0.01-6.dat,feasible,3.6373e-05,3.6328e-05,7404,8781
test_1000_2000_r0.01-0.dat,feasible,3.5469e-05,3.5418e-05,9274,11417
test_500_2000_r0.01-3.dat,feasible,1.6438e-05,1.6355e-05,6735,8130
test_1000_1000_r0.01-0.dat,feasible,4.1128e-05,4.1039e-05,6958,8173
test_1000_2000_r0.01-6.dat,feasible,3.4557e-05,3.4499e-05,9514,13080
test_500_2000_r0.01-6.dat,feasible,1.5292e-05,1.5235e-05,6461,7796
test_500_2000_r0.01-8.dat,feasible,1.6971e-05,1.6909e-05,7652,9404
test_1000_1000_r0.01-1.dat,feasible,3.3716e-05,3.365e-05,6741,8214
test_1000_2000_r0.01-1.dat,feasible,3.5969e-05,3.5923e-05,9088,11688
test_1000_2000_r0.01-3.dat,feasible,3.4866e-05,3.4811e-05,9123,11281
test_500_1000_r0.01-5.dat,feasible,1.5773e-05,1.5733e-05,5133,5919
test_1000_2000_r0.01-2.dat,feasible,3.6394e-05,3.635e-05,9069,11440
test_500_2000_r0.01-5.dat,feasible,1.5178e-05,1.5136e-05,6625,7776
test_500_1000_r0.01-7.dat,feasible,1.4965e-05,1.4947e-05,5284,6169
test_1000_1000_r0.01-3.dat,feasible,3.4117e-05,3.4064e-05,7284,8572
test_1000_2000_r0.01-8.dat,feasible,3.7343e-05,3.728e-05,9161,11610
test_500_1000_r0.01-6.dat,feasible,1.6264e-05,1.6186e-05,5065,5661
test_1000_1000_r0.01-9.dat,feasible,3.5277e-05,3.5213e-05,6992,8290
test_500_2000_r0.01-9.dat,feasible,1.5968e-05,1.5908e-05,6940,8172
test_1000_1000_r0.01-7.dat,feasible,3.5983e-05,3.5937e-05,7201,8505
test_1000_1000_r0.01-2.dat,feasible,3.2851e-05,3.2795e-05,6805,7777
test_500_2000_r0.01-1.dat,feasible,1.4337e-05,1.4275e-05,7226,8413
test_1000_2000_r0.01-4.dat,feasible,3.5244e-05,3.519e-05,8764,10877
test_1000_1000_r0.01-8.dat,feasible,3.3419e-05,3.3281e-05,7172,8090
test_500_1000_r0.01-3.dat,feasible,1.4578e-05,1.4556e-05,5158,5847
test_1000_1000_r0.01-5.dat,feasible,3.6192e-05,3.6155e-05,6890,7824
test_500_1000_r0.01-9.dat,feasible,1.5285e-05,1.5268e-05,4790,5547
test_500_2000_r0.01-4.dat,feasible,1.4953e-05,1.4896e-05,6414,7730
test_500_2000_r0.01-7.dat,feasible,1.5044e-05,1.4986e-05,6473,7761
